Coleta	Estacao	Tratamento	Ponto	Ponto	Profundidade	TeorH2O	AT	DP	DS	Ma	Mi	PTotal	RP	P_res	pH	K	Ca	Mg	H_Al	Al	SB	CTC	V	Ca_CTC	Mg_CTC	M_Sat_Al	Est_C	T_Ar	RH	WBT	Ab_Abs
2	Outono	ILPF	P4	P9	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.3	44.8	18.0	0
2	Outono	ILPF	P4	P9	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.8	53.0	18.8	3
2	Outono	ILPF	P4	P9	0.00-0.10	0.07	930.0	2.5	1.46	0.03	0.21	0.24		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	3
2	Outono	ILPF	P4	P9	0.10-0.20	0.05	862.0	2.6	2.29	0.02	0.18	0.20		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0
2	Outono	ILPF	P4	P9	0.20-0.30	0.06	922.0	2.5	2.45	0.02	0.15	0.17		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	1
2	Outono	ILPF	P5	P10	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.4	49.3	17.8	0
2	Outono	ILPF	P5	P10	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.3	56.1	18.6	11
2	Outono	ILPF	P5	P10	0.00-0.10	0.05	920.0	2.6	1.96	0.04	0.23	0.27		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.1	71.7	20.0	3
2	Outono	ILPF	P5	P10	0.10-0.20	0.06	919.0	2.5	1.83	0.05	0.17	0.22		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	2
2	Outono	ILPF	P5	P10	0.20-0.30	0.07	912.0	2.6	1.95	0.03	0.14	0.17		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	1
